药品名称,厂家,RMSE,MAE,SMAPE,R²,Best_Params
注射用硫酸多粘菌素B,沪上药一生化,221.5828214004781,119.46148267934021,67.23123069903755,0.3336404507605393,"{'n_estimators': 300, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'objective': 'reg:squarederror'}"
注射用糜蛋白酶,沪第一生化,2498.85246688739,1258.6439351505703,42.67259102921887,0.39224780461848474,"{'n_estimators': 300, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'objective': 'reg:squarederror'}"
注射用胸腺法新,意大利,42.59303858081625,32.36804285314348,45.523306209395656,0.08824581462936665,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 1.0, 'colsample_bytree': 0.8, 'random_state': 42, 'objective': 'reg:squarederror'}"
注射用胸腺法新,扬子江药业,194.7561909442374,128.64675052349384,45.02082690482715,-0.674307228478602,"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'random_state': 42, 'objective': 'reg:squarederror'}"
注射用腺苷钴胺,华北制药,544.3821878890114,436.5699742635091,33.15993697500159,0.15993537025903815,"{'n_estimators': 200, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'random_state': 42, 'objective': 'reg:squarederror'}"
注射用艾司奥美拉唑钠,湖北人民制药,3419.030690955473,2426.26078913762,36.37739106191524,-0.706018617980396,"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1.0, 'colsample_bytree': 0.8, 'random_state': 42, 'objective': 'reg:squarederror'}"
注射用英夫利西单抗,瑞士,49.33333744180025,37.815245628356934,25.706167599008417,0.5406211956342224,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'objective': 'reg:squarederror'}"
注射用醋酸亮丙瑞林微球,沪丽珠,160.6133106235147,113.6748744116889,23.85887889105024,0.6078967310531436,"{'n_estimators': 300, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'objective': 'reg:squarederror'}"
注射用醋酸奥曲肽微球,诺华公司,11.631575331543731,7.664853731791179,50.33587217310127,0.061968134479347015,"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'random_state': 42, 'objective': 'reg:squarederror'}"
注射用醋酸曲普瑞林,法国,65.85449177792194,40.19433085123698,48.375440005993056,-0.08962944135495543,"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'objective': 'reg:squarederror'}"
注射用醋酸西曲瑞克,德国Baxter,109.14707196976728,76.5744931962755,60.76648946157399,0.15752393638765738,"{'n_estimators': 200, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'random_state': 42, 'objective': 'reg:squarederror'}"
注射用重组人2型肿瘤坏死因子受体抗体融合蛋白,沪三生国健,177.94015836265396,142.62636460198297,53.670367939428445,0.12401895238558036,"{'n_estimators': 200, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'objective': 'reg:squarederror'}"
注射用重组人促卵泡激素,长春金赛,817.5047369582669,665.419070036515,48.960982645339435,-0.24703830082917033,"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'objective': 'reg:squarederror'}"
注射用重组人促黄体激素α,雪兰诺,362.2572632166313,251.08764224582248,62.10757927661905,-0.24878757023327824,"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'objective': 'reg:squarederror'}"
注射用重组人白介素11,京双鹭,597.7104118624828,454.688988910781,59.420583786370464,0.5821149141787929,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'objective': 'reg:squarederror'}"
