药品名称,厂家,RMSE,MAE,SMAPE,R²
丁苯酞氯化钠注射液,石药恩必普,190.08097813803062,158.41310465268674,30.267940822578453,-2.0018959620009587
丁苯酞软胶囊,石药恩必普,141.11560113463003,117.64568118573997,21.371573124491647,0.10281352365926322
乌美溴铵维兰特罗吸入粉雾剂,葛兰素,9.473228221219903,6.234548405905841,21.154223716044772,-0.5348609960867796
乙磺酸尼达尼布软胶囊,勃林格殷格翰,3.8603827390662264,2.9767466651926315,28.41791463734145,-1.2579901701917495
依达拉奉右莰醇注射用浓溶液,南京先声,145.57692679298316,112.17822672521352,20.792682626278125,-0.23471367636024731
依那西普注射液,辉瑞,73.0523514036018,62.11495412669025,28.51890358146979,-0.13538848460630404
信迪利单抗注射液,信达生物,14.856668814385838,11.841169591061387,19.902263866015545,-1.0830255392152877
克唑替尼胶囊,辉瑞,1.1415642224836375,0.928158864436129,24.255120151696786,-0.7150178020022901
利拉鲁肽注射液,诺和诺德,25.964224383990736,22.32885544809008,23.800678398869955,-0.6856291593553612
奥拉帕利片,艾伯维,10.524724090022973,7.855975240486462,26.68606570876473,-0.5945943574605574
尼洛替尼胶囊,瑞士诺华,6.087378245124266,4.878587967827385,26.11280749184543,0.028607044312940477
度普利尤单抗注射液,赛诺菲,5.533681172912669,4.511655116748164,17.058543326889286,-0.5457406829114655
恩扎卢胺软胶囊,安斯泰来,2.4420606528616706,1.9984242390566518,23.50208396229949,-0.30886117107063593
托伐普坦片,浙江大冢,7.2028744268601965,5.614859413934254,17.78724783137809,0.5276814578110328
替雷利珠单抗注射液,勃林格殷格翰,46.0763378051334,31.97985415759299,46.23063270032211,-12.179391001709543
枸橼酸伊沙佐米胶囊,德国,1.1436114130965012,0.8840803680514464,27.51474915197349,-1.2165494330730233
格隆溴铵福莫特罗吸入气雾剂,阿斯利康,15.302241702817854,12.134005733793584,35.37996703564415,-1.1503453118412925
沙库巴曲缬沙坦钠片,诺华,597.6690379023466,483.2016359330444,16.93030200221747,0.29216314101311025
注射用卡瑞利珠单抗,苏州盛迪亚,6.3701666877520795,4.8595851724089725,18.590602207524203,-2.3220980210232804
注射用奥马珠单抗,诺华制药,18.08556889384462,14.369069469958939,37.102733883078194,-1.104781161537748
