药品名称,厂家,RMSE,MAE,SMAPE,R²
w3鱼油脂肪乳注射液,华瑞,979.4190068832928,867.3674571715162,62.36639763568213,-4.664228982682847
一次性使用注射笔用针头,苏碧迪,19602.1225261946,13535.9582616942,69.32622622174178,-1.5101659272980492
一清胶囊,成都康弘,3029.635991135612,2332.1171024287173,49.29751800801793,-6.032328981135862
丁硼乳膏,宁波立华,356.21205501658585,290.29009273971695,109.96450590091698,-3.6933427088636632
丁苯酞氯化钠注射液,石药恩必普,1620.8379573235793,1489.3011150395264,182.95283170643296,-5.265878440554374
丁苯酞软胶囊,石药恩必普,760.3823203321664,662.9711075701841,40.05778850270932,-2.138636811052188
丁酸氢化可的松乳膏,津太平洋,253.33366326433793,216.37548297526533,140.39659388400736,-4.807130375305791
七叶洋地黄双苷滴眼液,德国施图伦,5841.886242867558,4596.374333411839,37.3387486105068,-0.3143244764520121
丙戊酸钠片,鲁仁和堂,169.49815749948172,126.09697230857917,,-2.0338113667820155
丙氨酰谷氨酰胺注射液,华瑞,1174.946778551898,883.0342402346239,78.65045596998306,-1.7045766652990184
丙氨酰谷氨酰胺注射液,哈三联,113.97097665172831,91.1214148714314,,-0.23110449426109358
丙泊酚中/长链脂肪乳注射液,费森,2934.098529218338,2797.258487416099,142.71424973410498,-8.061336466734828
中/长链脂肪乳注射液[C624],华瑞,433.5158958320099,346.3462251624469,57.39667750078685,-0.25843621762045155
丹参,统货,27.00142125132203,22.613690353869053,75.5987699193799,-0.08469447507609207
乙磺酸尼达尼布软胶囊,勃林格殷格翰,8863978086378.785,2756914557863.1187,199.91070334303564,-1.5869107965493804e+23
二甲硅油乳剂,四川健能,2199.8437256188695,1690.3185333370413,50.968703718717265,-2.330873677701992
二硫化硒洗剂,苏迪赛诺,613.5647096779453,492.7043926486398,75.87995659986233,-2.2147226491686784
二羟丙茶碱注射液,沪信谊金朱,833.7853092358044,765.2683781529644,140.69680393588325,-29.215692116417404
云南白药气雾剂,云南白药,131.63485362558376,98.25409015177294,131.0057032208497,-0.28154831638182376
人凝血因子8,华兰,1043.3582140141234,926.647357835461,87.3961231700752,-6.878519302044095
人白介素2注射液,京四环,1531.3735785547601,1196.8484954870314,179.47417835447973,-1.4540543329576439
人血白蛋白,同路生物,3354.7510500846715,3131.8719165322136,109.81243299775126,-7.3905756302568655
人血白蛋白,百特,5372.4938111434485,4399.701292059936,53.892542547406066,-2.1788960119298455
他克莫司滴眼液,日本千寿,37.643065177053934,32.657717170573434,191.95805807262823,-3.2820108551333105
他克莫司胶囊[普乐可复],爱尔兰,460.1542122186154,338.1906585972879,33.321194477909486,-0.7779191129001639
他达拉非片,苏天士力,827.9607775512403,688.7005803469231,71.0713279450008,-14.874027348462862
仙鹤草,统货,4.703621543609532,3.7102822916158837,25.08022410536423,-0.7611707021718337
低分子肝素钠注射液,意大利,22523.67958969219,18318.51857028763,104.80424381415389,-4.198342524512756
